{DhanV, 1}
śrīgaṇeśagīrbhyāṃ namaḥ | [DhanV, 1 1.1]
ākarṣaṇe caiva bāṇasya cāpe muṣṭiradho bhavet | [DhanV, 1 141.1]
guṇamuṣṭir bhavedūrdhvaṃ tadādhogāminī gatiḥ | [DhanV, 1 141.2]
lakṣyabāṇāgradṛṣṭīṇāṃ saṃhatistu yadā bhavet | [DhanV, 1 142.1]
tadānīm ujjhito bāṇo lakṣyānna calati dhruvam | [DhanV, 1 142.2]
nirdoṣaḥ śabdahīnaśca samamuṣṭidvayojjhitaḥ | [DhanV, 1 143.1]
bhinatti dṛḍhabhedyāni sāyako nātra saṃśayaḥ | [DhanV, 1 143.2]
ākṛṣṭastejito yaśca viśuddho gāḍhamujjhitaḥ | [DhanV, 1 144.1]
naro nāgāśca kāyeṣu na sa tiṣṭhati mārgaṇaḥ | [DhanV, 1 144.2]
yasya tṛṇasamā bāṇā yat saṃdhānasamaṃ dhanuḥ | [DhanV, 1 145.1]
yasya prāṇasamā maurvī sa dhanvī dhanvināṃ varaḥ | [DhanV, 1 145.2]
ayaścarmaghaṭaścaiva mṛtpiṇḍaśca catuṣṭayam | [DhanV, 1 146.1]
yo bhinatti na tasyeṣur vajriṇāpi ca bādhyate | [DhanV, 1 146.2]
sārdhāṅgulapramāṇena lohapātrāṇi kārayet | [DhanV, 1 147.1]
tāni bhittvaikabāṇena dṛḍhaghātī bhavennaraḥ | [DhanV, 1 147.2]
caturviṃśaticarmāṇi yo bhinattīṣuṇā naraḥ | [DhanV, 1 148.1]
tasya bāṇo gajendrasya kāyaṃ nirbhidya gacchati | [DhanV, 1 148.2]
bhrāmyajjale ghaṭo vedhyaḥ cakre mṛtpiṇḍakaṃ tathā | [DhanV, 1 149.1]
bhramantaṃ bhedayedyastu dṛḍhabhedī sa ucyate | [DhanV, 1 149.2]
ayastu kākatuṇḍena carma cārāmukhena hi | [DhanV, 1 150.1]
mṛtpiṇḍaṃ ca ghaṭaṃ caiva vidhyetsūcīmukhena vai | [DhanV, 1 150.2]
bāṇabhaṅgakarāvarttaṃ kāṣṭhacchedanam eva ca | [DhanV, 1 151.1]
bindukaṃ caiva yugakaṃ yo vetti sa jayī bhavet | [DhanV, 1 151.2]
lakṣyasthāne dhṛtaṃ kāṇḍaṃ saṃmukhaṃ chedayettataḥ | [DhanV, 1 152.1]
kiṃcinmuṣṭiṃ vidhāya svāṃ tiryag dviphalakeṣuṇā | [DhanV, 1 152.2]
saṃmukhaṃ bāṇam āyāntaṃ tiryagbāṇaṃ na saṃcaret | [DhanV, 1 153.1]
prāptaṃ śareṇa yaśchindyād bāṇacchedī sa ucyate | [DhanV, 1 153.2]
kāṣṭhe 'śvakeśaṃ saṃyamya tatra baddhvā varāṭikām | [DhanV, 1 154.1]
hastena bhrāmyamāṇaṃ ca yo hanti sa dhanurdharaḥ | [DhanV, 1 155]
pañcaviddhaṃ nyasecchastraṃ śuddhaṃ bandhukapuṣpavat | [DhanV, 1 156.1]
hāstikaṃ bindukaṃ yastu citrabhedī sa ucyate | [DhanV, 1 156.2]
lakṣyaviddhaṃ kāṣṭhaṃ kṣipraṃ dūramūrūrddha vapuḥ sthitam | [DhanV, 1 157.1]
svayaṃ prāptaśaraṃ pṛṣṭhe ūrdhvapucchamukhena hi | [DhanV, 1 157.2]
yo hanti śarayugmena śīghrasaṃdhānayogataḥ | [DhanV, 1 158.1]
saḥ syāddhanurbhṛtāṃ śreṣṭhaḥ pūjitaḥ sarvapārthivaiḥ | [DhanV, 1 158.2]
lakṣyasthāne nyaset kāṣṭhaṃ sādraṃ gopucchasannibham | [DhanV, 1 159.1]
yaḥ chindyāttaṃ kṣurapreṇa kāṣṭhavedhī sa yāyate | [DhanV, 1 159.2]
lakṣyasthāne nyaset kāṃsyaṃ pātraṃ hastadvayāntare | [DhanV, 1 160.1]
tāḍayeccharkarābhistaṃ śabdaḥ saṃjāyate yadā | [DhanV, 1 160.2]
yatropalabhyate śabdaḥ samyak taṃ tatra cintayet | [DhanV, 1 161.1]
karmendriyamanoyogāllakṣyaṃ niścayatāṃ nayet | [DhanV, 1 161.2]
punaḥ śarkayā bhinnaṃ tāḍayecchabdahetave | [DhanV, 1 162.1]
tato bāṇena taṃ hanyāt tadavadhānena dhīmatā | [DhanV, 1 162.2]
etacca duṣkaraṃ karma bhāgyāt kasyāpi sidhyati | [DhanV, 1 162.3]
atha śramavidhiṃ kuryād yāvat siddhiḥ prajāyate | [DhanV, 1 163.1]
śrame siddhe ca varṣāsu naiva grāhyaṃ dhanuṣkare | [DhanV, 1 163.2]
pūrvābhyāsasya śastrāṇām avismaraṇahetave | [DhanV, 1 164.1]
māsadvayaṃ śramaṃ kuryāt prati varṣaṃ śaradṛtau | [DhanV, 1 164.2]
jāte cāśvayuje māsi navamī devatā dine | [DhanV, 1 165.1]
pūjayed īśvarīṃ caṇḍīṃ guruṃ śāstrāṇi vājigaḥ | [DhanV, 1 165.2]
viprebhyo dakṣiṇāndadyāt kumārīḥ pūjayettataḥ | [DhanV, 1 166.1]
devyai paśubaliṃ dadyādgītavāditramaṅgalaiḥ | [DhanV, 1 166.2]
śūlena pāhi no devi pāhi khaḍgeṇa cāmbike | [DhanV, 1 167.1]
ghaṇṭāsvanena naḥ pāhi cāpajyāniḥsvanena ca | [DhanV, 1 167.2]
prācyāṃ rakṣa pratīcyāṃ ca caṇḍike rakṣa dakṣiṇe | [DhanV, 1 168.1]
bhrāmaṇenātmaśūlasya uttarasyāṃ tatheśvari | [DhanV, 1 168.2]
saumyāni yāni rūpāṇi trailokye vicaranti te | [DhanV, 1 169.1]
yāni cātyarthaghorāṇi tai rakṣāsmān tathā bhuvam | [DhanV, 1 169.2]
tatastu sādhayenmantrān vedoktān āgamoditān | [DhanV, 1 170.1]
astrāṇāṃ karmasiddhyarthaṃ japahomavidhānataḥ | [DhanV, 1 170.2]
brāhmaṃ nārāyaṇaṃ śaivamaindraṃ vāyavyavāruṇe | [DhanV, 1 171.1]
āgneyaṃ vāpi cāstrāṇi gurudattāni sādhayet | [DhanV, 1 171.2]
manovākkarmabhir vyāptaṃ labdhāstreṇa śuciṣmatā | [DhanV, 1 172.1]
apātram asamarthaṃ ca dahantyastrāṇi puruṣam | [DhanV, 1 172.2]
prayogaṃ copasaṃhāraṃ yo vetti sa dhanurdharaḥ | [DhanV, 1 173.1]
sāmānye karmaṇi prājño naivāstrāṇi prayojayet | [DhanV, 1 173.2]
hastārke lāṅgalīkandaṃ gṛhītvā tasya lepataḥ | [DhanV, 1 174.1]
śūrasyāpi raṇe puṃso darpaṃ harati tatkṣaṇāt | [DhanV, 1 174.2]
gṛhītvā yoganakṣatrairapāmārgasya mūlakam | [DhanV, 1 175.1]
lepamātreṇa vīrāṇāṃ sarvaśastranivāraṇam | [DhanV, 1 175.2]
adhaḥpuṣpī śaṅkhapuṣpī lajjāluḥ girikarṇikā | [DhanV, 1 176.1]
nīlinī sahadevī ca patramauñjārkayostathā | [DhanV, 1 176.2]
viṣṇukrāntā ca sarvāsāṃ jaṭā grāhyā raverdine | [DhanV, 1 177.1]
baddhvā bhuje vilepād vā kāye sarvāstrāpavārakaḥ | [DhanV, 1 177.2]
sarvavyāghrādisattvāṇāṃ bhūtādīṇāṃ na jāyate | [DhanV, 1 178.1]
bhītistasya na tiryagbhyo mātaro'ṣṭau śarīrake | [DhanV, 1 178.2]
gṛhītaṃ hastanakṣatre cūrṇaṃ chuchundarī bhavet | [DhanV, 1 179.1]
tatprabhāvādgajaḥ puṃsāṃ saṃmukhenaiti niścitam | [DhanV, 1 179.2]
chuchandarīśrīphalasya cūrṇam ālipya gātrake | [DhanV, 1 180.1]
āghrāya gandhaṃ dviradaścātimatto madaṃ tyajet | [DhanV, 1 180.2]
puṣyārkotpāṭite mūle pūgena mukhasaṃsthite | [DhanV, 1 181.1]
dehaṃ sphuṭati notīkṣṇaṃ maṇḍalāgre raṇe nṝṇām | [DhanV, 1 181.2]
gāmbhāryā uttaraṃ mūlaṃ mukhasya saṃmukhāgatam | [DhanV, 1 182.1]
śastraughaṃ vārayettatra puṣyārke vidhinoddhṛtam | [DhanV, 1 182.2]
śubhrāyāḥ śarapuṅkhāyā jaṭā nīlī jaṭā tathā | [DhanV, 1 183.1]
bhuje śirasi vaktre vā sthitā śastranivārikā | [DhanV, 1 183.2]
bhūtāhicorabhītighnī gṛhītvā puṣyabhāskare | [DhanV, 1 184]
prathamaṃ kriyate snānaṃ śvetavastrāvṛto bhavet | [DhanV, 1 185.1]
śastrāṇi cāpi sampūjya rakṣāmantraṃ japettataḥ | [DhanV, 1 186.1]
senāpatiṃ gajārohān aśvārohāṃśca sarvataḥ | [DhanV, 1 186.2]
mukhyān anyānapi dhanair vastraiśca paridhāpayet | [DhanV, 1 187.1]
pūrvaṃ sārathimāropya rathe sajjet tataḥ svayam | [DhanV, 1 187.2]
catuḥśataiśca kāṇḍāṇāṃ tūṇīraṃ paripūrayet | [DhanV, 1 188.1]
śaṅkhaṃ cakraṃ gadāṃ śaktiṃ mudgaraṃ parighaṃ tathā | [DhanV, 1 188.2]
nārācaṃ paraśuṃ kuntaṃ paṭṭiśādīni saṃnyaset | [DhanV, 1 189.1]
narasthānagajāṣṭasya svayaṃ samaram ārohet | [DhanV, 1 189.2]
kaṭibaddhaikatūṇīraḥ khaḍgaśaktidhanurdharaḥ | [DhanV, 1 190.1]
tato 'rjunasya nāmāṇi viṣṇusmaraṇapūrvakam | [DhanV, 1 190.2]
japettataḥ pratiṣṭheta caturaṅgabalair yutaḥ | [DhanV, 1 191]
maṅgalaṃ bhagavān viṣṇurmaṅgalaṃ garuḍadhvajaḥ | [DhanV, 1 192.1]
maṅgalaṃ puṇḍarīkākṣo maṅgalāyatanaṃ hariḥ | [DhanV, 1 192.2]
lābhasteṣāṃ jayasteṣāṃ kutasteṣāṃ parājayaḥ | [DhanV, 1 193.1]
yeṣām indīvaraśyāmo hṛdayastho janārdanaḥ | [DhanV, 1 193.2]
arjunaḥ phālguno jiṣṇuḥ kirīṭī śvetavāhanaḥ | [DhanV, 1 194.1]
bībhatsur vijayaḥ kṛṣṇaḥ savyasācī dhanañjayaḥ | [DhanV, 1 194.2]
ityarjunasya nāmāṇi saṃsmaret prayato naraḥ | [DhanV, 1 195]
khadvayaṃ surarddhīndunetrair akṣauhiṇī matā | [DhanV, 1 196.1]
akṣauhiṇī pradiṣṭā ca rathāṇāṃ varmadhāriṇām | [DhanV, 1 196.2]
saṃkhyāgaṇitatattvajñaiḥ sahasrāṇy ekaviṃśati | [DhanV, 1 197.1]
uparyaṣṭau śatānyāhuḥ tathā bhūpaśca saptatiḥ | [DhanV, 1 197.2]
gajāṇāṃ ca parimāṇametadeva vinirdiśet | [DhanV, 1 198.1]
pañcaṣaṣṭisahasrāṇi ṣaṭśatāni daśopari | [DhanV, 1 198.2]
hayāṇāṃ ca parimāṇam etad eva suniścitam | [DhanV, 1 199.1]
jñeyaṃ lakṣaṃ padātīnāṃ sahasrāṇi tathā nava | [DhanV, 1 199.2]
śatāni trīṇi pañcāśacchūrāṇāṃ śastradhāriṇām | [DhanV, 1 200.1]
pañcaṣaṣṭisahasrāṇi tathāśvāṇāṃ śatāni ca | [DhanV, 1 200.2]
daśottarāṇi gāyanti saṃkhyātattvavido janāḥ | [DhanV, 1 201]
mahākṣauhiṇī kāryā rathākoṭibhatāḥ smṛtāḥ | [DhanV, 1 202.1]
saptatriṃśacca lakṣāṇi gīyante tattvavedibhiḥ | [DhanV, 1 203.1]
dvādaśaiva sahasrāṇi tathā śatacatuṣṭayam | [DhanV, 1 203.2]
proktāni navatis tadvadevameva gajā matāḥ | [DhanV, 1 204.1]
aśvāścatuḥkoṭimitā lakṣaṃ caikādaśaiva tu | [DhanV, 1 204.2]
saptatriṃśatsahasrāṇi tathā śatacatuṣṭayam | [DhanV, 1 205.1]
saptabhiścaiva saṃkhyātāḥ procyante pattayastathā | [DhanV, 1 205.2]
ṣaṭkoṭyo 'śītilakṣāṇi pañcādhikaśatānyapi | [DhanV, 1 206.1]
dviṣaṣṭiṃ ca sahasrāṇi tathā śatacatuṣṭayam | [DhanV, 1 206.2]
agre rathā gajāḥ pṛṣṭhe tatpṛṣṭhe ca padātayaḥ | [DhanV, 1 207.1]
pārśvayośca hayāḥ kāryā vyūhasaṃkhyāvidhiḥ smṛtaḥ | [DhanV, 1 207.2]
ardhacandraṃ ca candraṃ ca śakaṭaṃ makaraṃ tathā | [DhanV, 1 208.1]
kamalaṃ śreṇikāṃ gulmaṃ vyūhān evaṃ prakalpate | [DhanV, 1 208.2]
ye rājaputrāḥ sāmantāḥ āptāḥ sevakajātayaḥ | [DhanV, 1 209.1]
rakṣaṇīyāḥ prayatne na sadaiva hitakāriṇaḥ | [DhanV, 1 209.2]
yasmin raṇe yaḥ puruṣaḥ pradhānaḥ sa sarvayatnena hi rakṣaṇīyaḥ | [DhanV, 1 210.1]
tasmin vinaṣṭe kila sarvabhūte sarve'pi yodhāstvabalā bhavanti | [DhanV, 1 210.2]
saṃgrāmasārabhūtaṃ ca śāstrajñam anuvāsi cet | [DhanV, 1 211.1]
api ca svaśriyai sainyaṃ vṛtheyaṃ muṇḍamaṇḍalī | [DhanV, 1 211.2]
api pañcaśatāḥ śūrā gṛhṇanti mahatīṃ camūm | [DhanV, 1 212.1]
athavā pañca ṣaṭsapta vijayante 'nuvartinaḥ | [DhanV, 1 212.2]
dhanuḥsaṃhatiśuddhātmā rājāno mukhadurbalāḥ | [DhanV, 1 213.1]
ā karṇapalitā yodhāḥ saṃgrāme jayavādinaḥ | [DhanV, 1 213.2]
parasparānuraktā ye yodhāḥ śārṅgadhanurdharāḥ | [DhanV, 1 214.1]
yuddhajñāstu rathārūḍhāste jayanti raṇe ripūn | [DhanV, 1 214.2]
ekaḥ kāpuruṣādīrṇo dārayenmahatīṃ camūm | [DhanV, 1 215.1]
taddīrṇam anudīryante yodhāḥ śūratamā api | [DhanV, 1 215.2]
durnivāratayā caiva samagrāṃ mahatīṃ camūm | [DhanV, 1 216.1]
apāmiva mahāvegas trāsayet kuśalānapi | [DhanV, 1 216.2]
api bhagneṣu sainyeṣu vidruteṣu nivartate | [DhanV, 1 217.1]
pade pade'śvamedhasya labhate phalamakṣayam | [DhanV, 1 217.2]
dvāvimau puruṣau loke sūryamaṇḍalabhedinau | [DhanV, 1 218.1]
parivrāḍ yogayuktaśca raṇe cābhimukho hataḥ | [DhanV, 1 218.2]
yatra yatra hataḥ śūraḥ śatrubhiḥ pariveṣṭitaḥ | [DhanV, 1 219.1]
akṣayaṃ labhate lokaṃ yadi dainyaṃ na bhāṣate | [DhanV, 1 219.2]
mūrchitaṃ naiva vikalaṃ nāśastraṃ nānyayodhinam | [DhanV, 1 220.1]
palāyamāṇaṃ śaraṇaṃ gataṃ caiva na hiṃsayet | [DhanV, 1 220.2]
bhīruḥ palāyamāṇo'pi na hantavyo balīyasā | [DhanV, 1 221.1]
kadācicchūratāṃ yāti śaraṇe kṛtavismṛtaḥ | [DhanV, 1 221.2]
samprūjya mahatīṃ senāṃ caturaṅgāṃ mahīpatiḥ | [DhanV, 1 222.1]
vyūhayitvā parān śūrān sthāpayejjayalipsayā | [DhanV, 1 222.2]
alpāyāṃ vā mahatyāṃ vā senāyāmiti niścayaḥ | [DhanV, 1 223.1]
harṣo yodhagaṇasyāpi jayalakṣaṇam ucyate | [DhanV, 1 223.2]
anvevaṃ vāyavo yānti dakṣiṇe ca vayāṃsi ca | [DhanV, 1 224.1]
anusarve'pi piśitā yasya yānti raṇe jayaḥ | [DhanV, 1 224.2]
apūrṇaṃ caiva mantavyaṃ sampūrṇenaiva sidhyati | [DhanV, 1 225.1]
tasmāddhairyaṃ prakartavyaṃ hantavyā paravāhinī | [DhanV, 1 225.2]
jīvallakṣmī mṛte svargaḥ kīrtiśca dharaṇītale | [DhanV, 1 226.1]
tasmāddhairyaṃ vidhātavyaṃ hantavyā paravāhinī | [DhanV, 1 226.2]
iti śrīmatsadāśivaprokto dhanurvedaḥ samāptaḥ | [DhanV, 1 227]
