{RCūM, 3}
rasaśālāṃ prakurvīta sarvabādhāvivarjite | [RCūM, 3 1.1]
piṣṭakaṃ chagaṇaṃ chāṇamupalaṃ cotpalaṃ tathā | [RCūM, 5 163.1]
giriṇḍopalasāṭhī ca navārī chagaṇābhidhaḥ | [RCūM, 5 163.2]
yaḥ somadevairvihitaṃ prakīrṇamadhyāyam enaṃ prakaroti pāṭhe | [RCūM, 5 164.1]
nāsau samīheta gurūpadeśaṃ rasendravaidye'pi ca dhātuvāde | [RCūM, 5 164.2]
{RCūM, 7}
kathyante somadevena sāmprataṃ darśino rasāḥ | [RCūM, 7 1.1]
śrīkaṇṭhāgamanirdiṣṭā viśiṣṭā rasasādhane | [RCūM, 7 1.2]
jalotpalasamaṅgā ca rasā ca jalapippalī | [RCūM, 7 2.1]
sthalaprasāriṇī ciñcī jālinī jalamūlakā | [RCūM, 7 2.2]
candrodakārdhacandrā ca jalāpāmārgatiktakā | [RCūM, 7 3.1]
tuṣāmbu kākamācī ca jalakumbhī tathā śaṭī | [RCūM, 7 3.2]
uttamā hemapuṣpī ca durgandhā sitagandhinī | [RCūM, 7 4.1]
māṇḍūkī mohinī māṃsī pāṣāṇī cātha śīśikā | [RCūM, 7 4.2]
sārivālambuṣā meghanādī ca śukanāsikā | [RCūM, 7 5.1]
potakī hīriṇī vajrakandikā cāparājitā | [RCūM, 7 5.2]
vanamālā vidārī ca kukkuṭā halinīśvarī | [RCūM, 7 6.1]
vārāhī bṛhatī mūrvā sarpākṣī sadacitrikā | [RCūM, 7 6.2]
mālārjunaśca gojihvā garuḍī haṃsapādikā | [RCūM, 7 7.1]
nandinī śikhipādī ca kāśmarī tulasī tathā | [RCūM, 7 7.2]
vanakūṣmāṇḍavallī ca vṛścikālī ca veṇukā | [RCūM, 7 8.1]
muśalī citrapādī ca karmasphoṭī tathā viṣā | [RCūM, 7 8.2]
ajamārī pāṭalā ca paṭolī dhanvayāsakaḥ | [RCūM, 7 9.1]
bhārṅgī viṣaghnī guḍūcī vāsā bhṛṅgī ca pāgavaḥ | [RCūM, 7 9.2]
aṣṭaṣaṣṭiriti proktā rasauṣadhyo mahābalāḥ | [RCūM, 7 10.1]
bandhane māraṇe tadvajjāraṇe ca niyāmane | [RCūM, 7 10.2]
bandhādāne ca sūtasya sarvadoṣāpakarmaṇi | [RCūM, 7 10.3]
vindhyādrau himaparvate ca malaye gomantake śrīgirau sahyādrāvatha pāriyātrakagirau kiṣkindhanāmālaye | [RCūM, 7 11.1]
māhendre'pyatha mālyavatkṣitidhare tadrūpanāmādhikaṃ gopābhīrakasiddhavaidyamukhato vaidyaiḥ samāvedyatām | [RCūM, 7 11.2]
{RCūM, 8}
sarpākṣī vandhyakarkoṭī jalabimbī ca jambukī | [RCūM, 8 1.1]
punarnavā ca matsyākṣī bhṛṅgarājaḥ śatāvarī | [RCūM, 8 1.2]
śarapuṅkhā ca maṇḍūkaparṇikā brahmadaṇḍikā | [RCūM, 8 2.1]
anantā kukkuṭī jaṅghā kākamācī śikhaṇḍinī | [RCūM, 8 2.2]
sahadevī kapotī ca viṣṇukrāntā kuraṇṭakaḥ | [RCūM, 8 3.1]
mahābalā nāgabalā mūrvā rāsnā kuriṅginī | [RCūM, 8 3.2]
phaṇirnīlī prapunnāṭaḥ samaṅgāmalakī tathā | [RCūM, 8 4.1]
jvālinī meghanādaśca gojihvā padmacāriṇī | [RCūM, 8 4.2]
pāṭhā ca kokilākṣaśca tripattrā cākhukarṇikā | [RCūM, 8 5.1]
ekaparṇī dviparṇī ca triparṇī kṣīriṇī tathā | [RCūM, 8 5.2]
tittiḍī meṣaśṛṅgī ca tulasī śyāmaparṇikā | [RCūM, 8 6.1]
śvetādriparṇikā ceti sarpākṣyādigaṇo mataḥ | [RCūM, 8 6.2]
ṣaṭcatvāriṃśako nāma pāradasya niyāmakaḥ | [RCūM, 8 7.1]
ihauṣadhīnāṃ pañcāṅgī gṛhītavyā vidhānataḥ | [RCūM, 8 7.2]
rasādisvedane mūṣānayane śodhane tathā | [RCūM, 8 8.1]
aṣṭopari yathālābhaṃ grāhyā prokteṣu karmasu | [RCūM, 8 8.2]
aṣṭakādhikamādhikyaṃ guṇānāṃ kurute dhruvam | [RCūM, 8 9.1]
vyāghrikā rākṣasī vahniścāṇḍālī gajakarṇikā | [RCūM, 8 9.2]
ṣaṭkārī śaṅkhapuṣpī ca bṛhatī hilamocakaḥ | [RCūM, 8 10.1]
śṛgālajihvikā vahnirmadanī lāṅgalī tathā | [RCūM, 8 10.2]
cakrikā vajriṇī vyāghrī kaṅkatī putrajīvikā | [RCūM, 8 11.1]
kañcukī caiva karkoṭī kumārī padmacāriṇī | [RCūM, 8 11.2]
ekavīrā rudantī ca lakṣmī narakasā tathā | [RCūM, 8 12.1]
uccaṭā raktacitrā ca nāginī nāgavallikā | [RCūM, 8 12.2]
saktukā saktuśṛṅgī ca raktasnug yajñavallikā | [RCūM, 8 13.1]
śākhoṭo meṣaśṛṅgī ca hemalī vyāghrapādikā | [RCūM, 8 13.2]
śamī vyāghranakhī somavallarī cārkapuṣpikā | [RCūM, 8 14.1]
keśinī kāsamārī ca vṛkṣarājo'jamārikā | [RCūM, 8 14.2]
koṭarākṣī hanūmantī narajīvāṅganāyakī | [RCūM, 8 15.1]
mālikā kākatuṇḍī ca meghapuṣpī ca kaṅguṇī | [RCūM, 8 15.2]
anyā tuvaravallī ca jagatī haṃsapādikā | [RCūM, 8 16.1]
kumbhinī vahnimārī ca sūryabhaktā ca vākucī | [RCūM, 8 16.2]
rasanirjīvakārī ca bhūśuṇḍī kaṭutumbikā | [RCūM, 8 17.1]
devadālī viśālā ca kārpāsī brahmarañjakam | [RCūM, 8 17.2]
kṛṣṇākṣīvaṃ tathā kṛṣṇadhattūro vanapīlukam | [RCūM, 8 18.1]
śvetārko yavaciñcā ca kāravellī ca dantikā | [RCūM, 8 18.2]
gojihvā kākajaṅghā ca śvetaguñjā ca śambarā | [RCūM, 8 19.1]
mahākālī sitāṅkolo māyūraśca paṭolikā | [RCūM, 8 19.2]
vyāghrikādigaṇaḥ so'yaṃ rasabhasmakaraḥ paraḥ | [RCūM, 8 20.1]
atroktauṣadhibījeṣu jīryate pāradaḥ pṛthak | [RCūM, 8 20.2]
raktasnuhī rudantī ca raktāgniḥ somavallikā | [RCūM, 8 21.1]
vṛddhadāru ca śākhoṭī mohinyaṅgāravallikā | [RCūM, 8 21.2]
barhikā kṣīramārjārī triśūlā kṣīrakukkuṭī | [RCūM, 8 22.1]
jīmūtaḥ kākamācī ca nīlikā śaṅkhapuṣpikā | [RCūM, 8 22.2]
nāgavallīdalākārapatrayuktālpakandinī | [RCūM, 8 23.1]
śrīśailotthā ca vajraghnī nāgakarṇīti sā smṛtā | [RCūM, 8 23.2]
jyotiṣmatī drumajyotistṛṇajyotirathoccaṭā | [RCūM, 8 24.1]
udumbarī tridaṇḍī ca nīlajyotistathāparā | [RCūM, 8 24.2]
hemavallarikā tāmravallarī cukra eva ca | [RCūM, 8 25.1]
tridaṇḍī brahmadaṇḍī ca krauñcikā sthalapadminī | [RCūM, 8 25.2]
varā vartulaparṇā ca nāgakaṇṭhī ca lāṅgalī | [RCūM, 8 26.1]
nāgajihvārkapatrī ca kāṣṭhodumbarikā tathā | [RCūM, 8 26.2]
kāladaṇḍī triparṇī ca raktasnuhyādiko gaṇaḥ | [RCūM, 8 27.1]
rasabandhe vadhe śuddhau vihitaḥ śambhunā svayam | [RCūM, 8 27.2]
dravyaiśca sthāvarair upasparśagandharasānvitaiḥ | [RCūM, 8 28.1]
śodhito marditaḥ sūto mriyate badhyate sukham | [RCūM, 8 28.2]
kadalī sūryabhaktaśca kaṭukoṣātakī tathā | [RCūM, 8 29.1]
drāviṇī kākamācī ca śigrukā kṣīrakañcukī | [RCūM, 8 29.2]
nīrapippalikā ceti kadalyādigaṇas tvayam | [RCūM, 8 30.1]
drāvaṇaḥ sarvalohānāṃ rasādīnāṃ ca niścitam | [RCūM, 8 30.2]
kākamācyarkapatrī ca kāsamardaḥ kṛtāñjaliḥ | [RCūM, 8 31.1]
lakṣmaṇā haṃsapādī ca nāginī kṣīranālikā | [RCūM, 8 31.2]
tāmbūlī vyālikā brāhmī kāravallyarjunī carā | [RCūM, 8 32.1]
vārāhakarṇikā meghadhvaniśca sahadevikā | [RCūM, 8 32.2]
tathā kuruvakaśceti kākamācyādiko gaṇaḥ | [RCūM, 8 33.1]
krāmaṇāya vinirdiṣṭā dehe lohe rasasya hi | [RCūM, 8 33.2]
ekavīrā mahāvīrā prayogo hemadaṇḍikā | [RCūM, 8 34.1]
caturbhedamidaṃ proktaṃ niścitaṃ rasabandhane | [RCūM, 8 34.2]
dehalohakaraṃ sarvaṃ mahārogāpakarṣaṇam | [RCūM, 8 35.1]
dhanyaṃ putrapradaṃ vṛṣyaṃ darśanasparśanādibhiḥ | [RCūM, 8 35.2]
śavapattrā bhavedvallī pāte caikaphalānvitā | [RCūM, 8 36.1]
ekavīreti sā proktā rasabandhakarī param | [RCūM, 8 36.2]
ekamekaṃ phalaṃ yasyāḥ pare patre prajāyate | [RCūM, 8 37.1]
pravālasadṛśīcchāyā mahāvīreti sā matā | [RCūM, 8 37.2]
trikandastriśikhaścaiva vṛntalagnaphaladvayaḥ | [RCūM, 8 38.1]
veṇuparṇasadṛkparṇaiḥ gajavindhyācalodbhavaḥ | [RCūM, 8 38.2]
tasya madhyamakando hi prayogo nāma rākṣasaḥ | [RCūM, 8 39.1]
tena saṃmarditaḥ sūto mriyate badhyate sukham | [RCūM, 8 39.2]
tāmbūlīpattravatpatrā svarṇavarṇapayasvinī | [RCūM, 8 40.1]
phalapuṣpādihīnā ca hemavallīti sā matā | [RCūM, 8 40.2]
sambandhasevitā yena tanmūtrairbaddhapāradaḥ | [RCūM, 8 41.1]
saṃvatsaradhṛto vaktre pradhatte khecarāṃ gatim | [RCūM, 8 41.2]
vajralaśunadaṇḍaśca lohadaṇḍaśca te trayaḥ | [RCūM, 8 42.1]
brahmaviṣṇuśivātmāno jagattritayarakṣakāḥ | [RCūM, 8 42.2]
pathyā śuṇṭhī śilā muṇḍī nirguṇḍī ca viḍaṅgakam | [RCūM, 8 43.1]
citrakastrikaṭurhema mākṣikaṃ vimalaṃ tathā | [RCūM, 8 43.2]
vajradaṇḍādivargo'yaṃ śreṣṭho'tīva rasāyane | [RCūM, 8 44.1]
sarvavyādhiharaḥ śreṣṭho jarāmṛtyuvināśanaḥ | [RCūM, 8 44.2]
bhūpāṭalī paṭolī ca yogārī siṃhavallikā | [RCūM, 8 45.1]
śūkarī hemavallī ca nāgadhārī ca mārkavaḥ | [RCūM, 8 45.2]
bhūpāṭalyādivargo'yaṃ rasabandhavidhāyakaḥ | [RCūM, 8 46.1]
pāṭalendīvarī caiva mantrasiṃhāsanī tathā | [RCūM, 8 46.2]
niśācarī ca kaṅkālakhecarī pañcaratnakam | [RCūM, 8 47.1]
dehalohakaraṃ sūtavadhabandhavidhāyakam | [RCūM, 8 47.2]
valīpalitavidhvaṃsi sarvavyādhiharaṃ param | [RCūM, 8 47.3]
{RCūM, 9}
ghṛtaṃ khaṇḍo mākṣikaṃ ca vijñeyaṃ madhuratrayam | [RCūM, 9 1.1]
mūtrāṇi hastikarabhamahiṣīkharavājinām | [RCūM, 9 1.2]
go'jāvīnāṃ striyaḥ puṃsāṃ puṣpaṃ bījaṃ ca yojayet | [RCūM, 9 2.1]
iṣṭikā gairikaṃ loṇaṃ bhasma valmīkamṛttikā | [RCūM, 9 2.2]
rasaprayogakuśalaiḥ kīrtitāḥ pañcamṛttikāḥ | [RCūM, 9 3.1]
ṭaṅkaṇaṃ ca yavakṣāraḥ sarjikṣārastṛtīyakaḥ | [RCūM, 9 3.2]
palāśakadalīśigrutilāpāmārgamokṣakāḥ | [RCūM, 9 4.1]
mūlakas tintiḍībodhiraktarājagiris tathā | [RCūM, 9 4.2]
kambalo'parakuḍyāni kṣāraścaiṣāṃ pṛthagvidhaḥ | [RCūM, 9 5.1]
kṣāravarga iti proktaḥ dīpanaśca mahābalaḥ | [RCūM, 9 5.2]
ratnādijāraṇaścāpi sarvalohādijāraṇaḥ | [RCūM, 9 6.1]
amlavetasajambīranimbukaṃ rājanimbukam | [RCūM, 9 6.2]
badaraṃ bījapūraṃ ca tintiḍī cukrikā tathā | [RCūM, 9 7.1]
caṇāmlaṃ kāñjikaṃ tadvadamlikā cāmladāḍimam | [RCūM, 9 7.2]
karamardaṃ ca kolāmlamamlavargo'yamucyate | [RCūM, 9 8.1]
rasādīnāṃ viśuddhyarthaṃ drāvaṇe jāraṇe hitaḥ | [RCūM, 9 8.2]
sāmudraṃ sindhusaṃjātaṃ kācotthaṃ viḍasaṃjñitam | [RCūM, 9 9.1]
sauvarcalamatho raumaṃ cullikaṃ ca gaḍādi ca | [RCūM, 9 9.2]
lavaṇānāmayaṃ vargo rucyaḥ pācanadīpanaḥ | [RCūM, 9 10.1]
drāvaṇaḥ śodhanaḥ sarvalohānāṃ bhasmanāmapi | [RCūM, 9 10.2]
śṛṅgikaṃ kālakūṭaṃ ca vatsanābhaṃ ca saktukam | [RCūM, 9 11.1]
pītaṃ ca viṣavargo'yaṃ sa varaḥ parikīrtitaḥ | [RCūM, 9 11.2]
rasakarmaṇi śasto'yaṃ tadbandhanavadhe'pi ca | [RCūM, 9 12.1]
ayuktyā sevitaścāyaṃ mārayatyeva niścitam | [RCūM, 9 12.2]
lāṅgalī viṣamuṣṭiśca karavīraś ca jayā tathā | [RCūM, 9 13.1]
nīlakaḥ kanako'rkaśca vargo hyupaviṣātmakaḥ | [RCūM, 9 13.2]
dīpanaḥ pācano bhedī rase kvāpi ca yujyate | [RCūM, 9 14.1]
viṣeṣu jaṅgamādyeṣu viṣaṃ sarpasya nāparam | [RCūM, 9 14.2]
tilātasīkusumbhānāṃ nimbasya karajasya ca | [RCūM, 9 15.1]
rājyāḥ siddhārthakasyāpi guñjākaṅguṇibījayoḥ | [RCūM, 9 15.2]
madhūkasya ca tailaiśca tailavargo rase hitaḥ | [RCūM, 9 16.1]
hastyaśvavanitādhenugardabhīchāgikāvikāḥ | [RCūM, 9 16.2]
uṣṭrikodumbarāśvatthabhānunyagrodhatilvakaḥ | [RCūM, 9 17.1]
dugdhikā snuggaṇaṃ caitattathaivottamakarṇikā | [RCūM, 9 17.2]
eṣāṃ dugdhair vinirdiṣṭo dugdhavargo rasādiṣu | [RCūM, 9 18.1]
mahiṣakroḍamatsyānāṃ chāgasya ca śikhaṇḍinaḥ | [RCūM, 9 18.2]
kṛṣṇāhirohitānāṃ ca mārjārasya ca māyubhiḥ | [RCūM, 9 19.1]
proktaḥ pittagaṇaḥ sūtavadhabandhanabhāvane | [RCūM, 9 19.2]
bhekakūrmavarāhāhinaramāṃsasamutthayā | [RCūM, 9 20.1]
vasayā ca vasāvargo rasakarmaṇi śasyate | [RCūM, 9 20.2]
pārāvatasya cāṣasya kapotasya kalāpinaḥ | [RCūM, 9 21.1]
gṛdhrasya kukkuṭasyāpi vinirdiṣṭo hi viḍgaṇaḥ | [RCūM, 9 21.2]
śodhanaḥ sarvalohānāṃ puṭanāllepanāt khalu | [RCūM, 9 22.1]
kusumbhakhadiro lākṣā mañjiṣṭhā raktacandanam | [RCūM, 9 22.2]
adrī ca bandhujīvaṃ ca tathā karpūragandhinī | [RCūM, 9 23.1]
mākṣikaṃ ceti vijñeyo raktavargo 'tirañjanaḥ | [RCūM, 9 23.2]
kiṃśukaḥ karṇikāraśca haridrādvitayaṃ tathā | [RCūM, 9 24.1]
pītavargo'yamuddiṣṭo rasarājasya karmaṇi | [RCūM, 9 24.2]
tagaraḥ kuṭajaṃ kundo guñjā jīvantikā tathā | [RCūM, 9 25.1]
sito'mbhoruhakandaśca śvetavarga udāhṛtaḥ | [RCūM, 9 25.2]
kadalī krūravallī ca triphalā nīlikā nalaḥ | [RCūM, 9 26.1]
paṅkaḥ kāsīsabālāmraṃ kṛṣṇavarga udāhṛtaḥ | [RCūM, 9 26.2]
raktavargādivargaiśca dravyaṃ yajjāraṇātmakam | [RCūM, 9 27.1]
bhāvanīyaṃ prayatnena tādṛgrāgāptaye khalu | [RCūM, 9 27.2]
kācaṭaṅkaṇaśiprābhiḥ śodhanīyo gaṇo mataḥ | [RCūM, 9 28.1]
sattvānāṃ baddhasūtasya lohānāṃ malanāśanaḥ | [RCūM, 9 28.2]
kāpālikāgaṇadhvaṃsī rasavādibhirucyate | [RCūM, 9 28.3]
mahiṣīmeṣaśṛṅgo'tra kaliṅgodbhavabījayuk | [RCūM, 9 29.1]
śaśāsthīni ca yogo'yaṃ lohakāṭhinyanāśanaḥ | [RCūM, 9 29.2]
guḍagugguluguñjājyasāraghaiṣṭaṅkaṇānvitaiḥ | [RCūM, 9 30.1]
durdrāvākhilalohāder drāvaṇe'yaṃ gaṇo mataḥ | [RCūM, 9 30.2]
kṣārāḥ sarve malaṃ hanyuramlaṃ śodhanajāraṇam | [RCūM, 9 31.1]
māndyaṃ viṣāṇi nighnanti snaigdhyaṃ snehāḥ prakurvate | [RCūM, 9 31.2]
{RCūM, 10}
mahārasāḥ syur ghanarājāvartavaikrāntasasyāḥ vimalādrijāte | [RCūM, 10 1.1]
tutthaṃ ca tāpyaṃ ca rasāyanāste sattvāni teṣām amṛtopamāni | [RCūM, 10 1.2]
gaurītejaḥ paramam amṛtaṃ vātapittakṣayaghnaṃ prajñodbodhi praśamitarujaṃ vṛṣyam āyuṣyam agryam | [RCūM, 10 2.1]
balyaṃ snigdhaṃ rucidam akaphaṃ dīpanaṃ śītavīryaṃ tattadyogaiḥ sakalagadahṛd vyoma sūtendrabandhi | [RCūM, 10 2.2]
rājahastād adhastādyatsamānītaṃ ghanaṃ khaneḥ | [RCūM, 10 3.1]
bhavettaduktaphaladaṃ niḥsattvaṃ niṣphalaṃ param | [RCūM, 10 3.2]
pinākanāgamaṇḍūkavajram ityabhrakaṃ matam | [RCūM, 10 4.1]
śvetādivarṇabhedena pratyekaṃ taccaturvidham | [RCūM, 10 4.2]
pinākaṃ pāvakottaptaṃ vimuñcati daloccayam | [RCūM, 10 5.1]
tatsevitaṃ malaṃ baddhvā mārayatyeva mānavam | [RCūM, 10 5.2]
nāgābhraṃ nāgavatkuryāt dhvaniṃ pāvakasaṃsthitam | [RCūM, 10 6.1]
tadbhuktaṃ kurute kuṣṭhaṃ maṇḍalākhyaṃ na saṃśayaḥ | [RCūM, 10 6.2]
utplutyotplutya maṇḍūkaṃ dhmātaṃ patati cābhrakam | [RCūM, 10 7.1]
tatkuryādaśmarīrogamasādhyaṃ śastrato'nyathā | [RCūM, 10 7.2]
vajrābhraṃ vahnisaṃtaptaṃ nirmuktāśeṣavaikṛtam | [RCūM, 10 8.1]
dehalohakaraṃ tattu sarvarogaharaṃ param | [RCūM, 10 8.2]
śvetaṃ raktaṃ ca pītaṃ ca kṛṣṇamevaṃ caturvidham | [RCūM, 10 9.1]
śvetaṃ śvetakriyāsūktaṃ raktādyaṃ pītakarmaṇi | [RCūM, 10 9.2]
caturvidhaṃ varaṃ vyoma yadyapyuktaṃ rasāyane | [RCūM, 10 10.1]
tathāpi kṛṣṇavarṇābhaṃ koṭikoṭiguṇādhikam | [RCūM, 10 10.2]
snigdhaṃ pṛthudalaṃ vahnisahaṃ syādbhārato'dhikam | [RCūM, 10 11.1]
sukhanirmocyapatraṃ ca tadabhraṃ śastam īritam | [RCūM, 10 11.2]
sacandraṃ kācakiṭṭābhaṃ vyoma na grāsayedrasam | [RCūM, 10 12.1]
grāsitaścenna yojyo'sau lohe caiva rasāyane | [RCūM, 10 12.2]
niścandrikaṃ mṛtaṃ vyoma sevyaṃ sarvagadeṣu ca | [RCūM, 10 13.1]
sevitaṃ candrikāyuktaṃ mehaṃ mandānalaṃ caret | [RCūM, 10 13.2]
yairuktaṃ yuktinirmuktaiḥ patrābhrakarasāyanam | [RCūM, 10 14.1]
tairdiṣṭaṃ kālakūṭākhyaṃ viṣaṃ jīvanahetave | [RCūM, 10 14.2]
sattvārthaṃ sevanārthaṃ ca yojayecchodhitābhrakam | [RCūM, 10 15.1]
anyathā tvaguṇaṃ kṛtvā vikarotyeva niścitam | [RCūM, 10 15.2]
prataptaṃ saptavārāṇi nikṣiptaṃ kāñjike'bhrakam | [RCūM, 10 16.1]
nirdoṣaṃ jāyate nūnaṃ nikṣiptaṃ vāpi gojale | [RCūM, 10 16.2]
triphalākvathite vāpi gavāṃ dugdhe viśeṣataḥ | [RCūM, 10 17.1]
tato dhānyābhrakaṃ kṛtvā piṣṭvā matsyākṣikārasaiḥ | [RCūM, 10 17.2]
cakrīṃ kṛtvā viśoṣyātha puṭedardhebhake puṭe | [RCūM, 10 18.1]
puṭedevaṃ hi ṣaḍvāraṃ paunarnavarasaiḥ saha | [RCūM, 10 18.2]
abhrāṃśaṭaṅkaṇenāpi saṃmardya kṛtacakrikam | [RCūM, 10 19.1]
ardhebhākhyaiḥ puṭaistadvatsaptavāraṃ puṭet khalu | [RCūM, 10 19.2]
evaṃ vāsārasenāpi taṇḍulīyarasena ca | [RCūM, 10 20.1]
prapuṭetsaptavārāṇi pūrvaproktavidhānataḥ | [RCūM, 10 20.2]
evaṃ siddhaṃ ghanaṃ sarvayogeṣu viniyojayet | [RCūM, 10 21.1]
pādāṃśaṭaṅkaṇopetaṃ matsyākṣīrasamarditam | [RCūM, 10 21.2]
rundhyāt koṣṭhyāṃ dṛḍhaṃ dhmātaṃ sattvarūpaṃ bhaved ghanam | [RCūM, 10 22.1]
paṭacūrṇaṃ vidhāyātha goghṛtena pariplutam | [RCūM, 10 22.2]
bharjayetsaptavārāṇi cullīsaṃsthitakharpare | [RCūM, 10 23.1]
agnivarṇaṃ bhavedyāvad vāraṃ vāraṃ ca cūrṇayet | [RCūM, 10 23.2]
tṛṇaṃ kṣiptaṃ dahedyāvattāvadvā bharjanaṃ caret | [RCūM, 10 24.1]
tataḥ sagandhakaṃ piṣṭvā vaṭamūlakaṣāyataḥ | [RCūM, 10 24.2]
puṭedviṃśativārāṇi vārāhena puṭena hi | [RCūM, 10 25.1]
punarviṃśativārāṇi triphalotthakaṣāyataḥ | [RCūM, 10 25.2]
triphalāmuṇḍikābhṛṅgapathyānīlīsumūlakaiḥ | [RCūM, 10 26.1]
bhāvayitvā prayoktavyaṃ sarvarogeṣu mātrayā | [RCūM, 10 26.2]
sattvābhrāt kiṃcid avaraṃ nirvikāraṃ guṇādhikam | [RCūM, 10 27.1]
evaṃ cecchatavārāṇi puṭapākena sādhitam | [RCūM, 10 27.2]
guṇavajjāyate'tyarthaṃ paraṃ pācanadīpanam | [RCūM, 10 28.1]
kṣudhaṃ karoti cātyarthaṃ guñjārdhamiti sevayā | [RCūM, 10 28.2]
tattadrogaharair yogaiḥ sarvaroganikṛntanam | [RCūM, 10 28.3]
dhānyābhraṃ kāsamardasya rasena parimarditam | [RCūM, 10 29.1]
puṭettacchatavārāṇi mriyate nātra saṃśayaḥ | [RCūM, 10 29.2]
tadvanmustārasenāpi taṇḍulīyarasena ca | [RCūM, 10 30.1]
śivāmalakasaubhāgyapiṣṭaṃ cakrīkṛtābhrakam | [RCūM, 10 30.2]
puṭettat ṣaṣṭivārāṇi sindūrābhaṃ prajāyate | [RCūM, 10 31.1]
kṣayādyanantarogaghnaṃ bhavedyogānupānataḥ | [RCūM, 10 31.2]
vaṭamūlatvacaḥ kvāthe tāmbūlapatrasārataḥ | [RCūM, 10 32.1]
vāsāmatsyākṣikībhyāṃ vā matsyākṣyā sakaṭhillayā | [RCūM, 10 32.2]
payasā vaṭavṛkṣasya marditaṃ puṭitaṃ ghanam | [RCūM, 10 33.1]
bhaved viṃśativāreṇa sindūrasadṛśaṃ ghanam | [RCūM, 10 33.2]
saṭaṅkaṇaṃ gavāṃ dugdhaiḥ piṣṭaṃ prapuṭitaṃ ghanam | [RCūM, 10 34.1]
niścandrikaṃ bhaved vārais triṃśadbhirguṇavattaram | [RCūM, 10 34.2]
evaṃ siddhāni cābhrāṇi tālena puṭitāni cet | [RCūM, 10 35.1]
bhavantyatīva tīvrāṇi rasādapyadhikāni ca | [RCūM, 10 35.2]
raukṣyaṃ saukṣmyaṃ jalaplāvaḥ śoṇavarṇasamudbhavaḥ | [RCūM, 10 36.1]
vicitraguṇadīptiśca jāyate bahubhiḥ puṭaiḥ | [RCūM, 10 36.2]
kāsamardaghanadhvanivāsānāṃ ca punarbhuvaḥ | [RCūM, 10 37.1]
matsyākṣyāḥ kāravellyāśca haṃsapādyā rasaiḥ pṛthak | [RCūM, 10 37.2]
piṣṭvā piṣṭvā prayatnena śoṣayedgharmayogataḥ | [RCūM, 10 38.1]
khaliṃ godhūmacūrṇaṃ ca kṣudramatsyāṃśca ṭaṅkaṇam | [RCūM, 10 38.2]
pratyekamabhrakāṃśena dattvā caiva vimardayet | [RCūM, 10 39.1]
mardane mardane samyak śoṣayedraviraśmibhiḥ | [RCūM, 10 39.2]
pañcājaṃ pañcagavyaṃ ca pañcamāhiṣameva ca | [RCūM, 10 40.1]
kṣiptvā golān prakurvīta kiṃcit tindukasaṃmitān | [RCūM, 10 40.2]
payo dadhi ghṛtaṃ mūtraṃ viṭ ca pañcāṅgam ucyate | [RCūM, 10 41.1]
adhaḥpātanakoṣṭhyāṃ hi dhmātvā sattvaṃ nipātayet | [RCūM, 10 41.2]
koṣṭhyāḥ kiṭṭaṃ samāhṛtya vicūrṇya ravakān haret | [RCūM, 10 42.1]
tatkiṭṭaṃ svalpaṭaṅkena gomayena vimardayet | [RCūM, 10 42.2]
golānvidhāya saṃśoṣya dhamed bhūyo'pi pūrvavat | [RCūM, 10 43.1]
bhūyaḥ kiṭṭaṃ samāhṛtya mṛditvā sattvamāharet | [RCūM, 10 43.2]
evameva punaḥ kiṭṭaṃ dhmātvā sattvaṃ samāharet | [RCūM, 10 44.1]
atha sattvakaṇāṃstāṃstu kvāthayitvāmlakāñjikaiḥ | [RCūM, 10 44.2]
śodhanīyagaṇopetaṃ mūṣāmadhye nirudhya ca | [RCūM, 10 45.1]
samyag drutaṃ samāhṛtya dvivāraṃ pradhamet punaḥ | [RCūM, 10 45.2]
iti siddhaṃ bhavetsattvaṃ yojyaṃ rasarasāyane | [RCūM, 10 46.1]
madhutailavasājyeṣu drāvitaṃ parivāpitam | [RCūM, 10 46.2]
mṛdu syāddaśavāreṇa sattvaṃ lohādikaṃ kharam | [RCūM, 10 47.1]
sattvasya golakaṃ taptaṃ sasyasaṃyuktakāñjike | [RCūM, 10 47.2]
nirvāpya tatkṣaṇenaiva kaṇḍayellohapārayā | [RCūM, 10 48.1]
sampratāpya ghanasthūlān kaṇānkṣiptvā ca kāñjike | [RCūM, 10 48.2]
tatkṣaṇena samāhṛtya khaṇḍayitvā rajaścaret | [RCūM, 10 49.1]
goghṛtena ca taccūrṇaṃ bharjayet pūrvavattridhā | [RCūM, 10 49.2]
dhātrīphalarasais tadvaddhātrīpatrarasena vā | [RCūM, 10 50.1]
bharjane bharjane kāryaṃ śilāpaṭṭena peṣaṇam | [RCūM, 10 50.2]
tataḥ punarnavāvāsārasaiḥ kāñjikamiśritaiḥ | [RCūM, 10 51.1]
prapuṭeddaśavārāṇi daśavārāṇi gandhakaiḥ | [RCūM, 10 51.2]
evaṃ saṃsādhitaṃ vyomasattvaṃ sarvaguṇottaram | [RCūM, 10 52.1]
yatheṣṭaṃ viniyoktavyaṃ jāraṇe ca rasāyane | [RCūM, 10 52.2]
vellavyoṣasamanvitaṃ ghṛtayutaṃ vallonmitaṃ sevitaṃ divyābhraṃ kṣayapāṇḍuruggrahaṇikāḥ śūlāmakoṣṭhāmayam | [RCūM, 10 53.1]
