{VSM, 1}
iṣe tvā | [VSM, 1 1.1]
sa naḥ piteva sūnave 'gne sūpāyano bhava | [VSM, 3 24.1]
sacasvā naḥ svastaye | [VSM, 3 24.2]
agne tvaṃ no antama uta trātā śivo bhavā varūthyaḥ | [VSM, 3 25.1]
vasur agnir vasuśravā acchānakṣi dyumattamaṃ rayiṃ dāḥ | [VSM, 3 25.2]
taṃ tvā śociṣṭha dīdivaḥ sumnāya nūnam īmahe sakhibhyaḥ | [VSM, 3 26.1]
sa no bodhi śrudhī havam uruṣyā ṇo aghāyataḥ samasmāt | [VSM, 3 26.2]
iḍe ehi | [VSM, 3 696069_1]
adite ehi | [VSM, 3 696069_2]
kāmyāḥ eta | [VSM, 3 696070_1]
mayi vaḥ kāma dharaṇam bhūyāt | [VSM, 3 696071_1]
somānaṃ svaraṇaṃ kṛṇuhi brahmaṇaspate | [VSM, 3 28.1]
kakṣīvantaṃ ya auśijaḥ | [VSM, 3 28.2]
yo revān yo amīvahā vasuvit puṣṭivardhanaḥ | [VSM, 3 29.1]
sa naḥ siṣaktu yas turaḥ | [VSM, 3 29.2]
mā naḥ śaṃso araruṣo dhūrtiḥ praṇaṅmartyasya | [VSM, 3 30.1]
rakṣā ṇo brahmaṇaspate | [VSM, 3 30.2]
mahi trīṇām avo 'stu dyukṣaṃ mitrasyāryamṇaḥ | [VSM, 3 31.1]
durādharṣaṃ varuṇasya | [VSM, 3 31.2]
nahi teṣām amā cana nādhvasu vāraṇeṣu | [VSM, 3 32.1]
īśe ripur aghaśaṃsaḥ | [VSM, 3 32.2]
te hi putrāso aditeḥ pra jīvase martyāya | [VSM, 3 33.1]
jyotir yacchanty ajasram | [VSM, 3 33.2]
kadācana starīr asi nendra saścasi dāśuṣe | [VSM, 3 34.1]
upopen nu maghavan bhūya in nu te dānaṃ devasya pṛcyate | [VSM, 3 34.2]
tat savitur vareṇyaṃ bhargo devasya dhīmahi | [VSM, 3 35.1]
dhiyo yo naḥ pracodayat | [VSM, 3 35.2]
pari te dūḍabhaḥ rathaḥ asmāṁ aśnotu viśvatas yena rakṣasi dāśuṣaḥ | [VSM, 3 696088_1]
bhūḥ bhuvaḥ svar | [VSM, 3 696090_1]
narya prajām me pāhi | [VSM, 3 696091_1]
śaṃsya paśūn me pāhi | [VSM, 3 696092_1]
atharya pitum me pāhi | [VSM, 3 696093_1]
viśva vedasam asmabhyam vasu vittamam | [VSM, 3 696094_1]
agne samrāj abhi dyumnam abhi sahaḥ āyacchasva | [VSM, 3 696095_1]
ayam agniḥ gṛhapatiḥ gārhapatyaḥ prajāyāḥ vasu vittamaḥ | [VSM, 3 696096_1]
agne gṛhapate abhi dyumnam abhi sahaḥ āyacchasva | [VSM, 3 696097_1]
ayam agniḥ purīṣyaḥ rayimān puṣṭi vardhanaḥ | [VSM, 3 696098_1]
agne purīṣya abhi dyumnam abhi sahaḥ āyacchasva | [VSM, 3 696099_1]
gṛhāḥ mā bibhīta | [VSM, 3 696100_1]
mā vepadhvam | [VSM, 3 696100_2]
ūrjam bibhrataḥ emasi | [VSM, 3 696100_3]
ūrjam bibhrat vaḥ su manāḥ sumedhāḥ gṛhān aimi manasā modamānaḥ | [VSM, 3 696101_1]
yeṣām adhyeti pravasan yeṣu saumanasaḥ bahuḥ gṛhān upahvayāmahe | [VSM, 3 696103_1]
te naḥ jānantu jānataḥ | [VSM, 3 696103_2]
upahūtāḥ iha gāvaḥ | [VSM, 3 696104_1]
upahūtāḥ aja avayaḥ | [VSM, 3 696104_2]
atha u annasya kīlālaḥ upahūtaḥ gṛheṣu naḥ | [VSM, 3 696105_1]
kṣemāya vaḥ śāntyai prapadye | [VSM, 3 696106_1]
praghāsinaḥ havāmahe marutaḥ ca riśādasaḥ karambheṇa sajoṣasaḥ | [VSM, 3 696107_1]
yat grāme yat araṇye yat sabhāyām yat indriye yat enaḥ cakṛma vayam idam tat avayajāmahe svāhā | [VSM, 3 696110_1]
mo ṣū ṇa indrātra pṛtsu devair asti hi ṣmā te śuṣminn avayāḥ | [VSM, 3 46.1]
mahaś cid yasya mīḍhuṣo yavyā haviṣmato maruto vandate gīḥ | [VSM, 3 46.2]
akran karma karma kṛtaḥ saha vācā mayobhuvā | [VSM, 3 696113_1]
devebhyaḥ karma kṛtvā astam preta sacābhuvaḥ | [VSM, 3 696114_1]
avabhṛtha nicumpuṇa niceruḥ asi nicumpuṇaḥ | [VSM, 3 696115_1]
ava devaiḥ deva kṛtam enaḥ ayāsiṣam ava martyaiḥ martya kṛtam | [VSM, 3 696116_1]
pururāvṇaḥ deva riṣaḥ pāhi | [VSM, 3 696117_1]
pūrṇā darvi parāpata | [VSM, 3 696118_1]
su pūrṇā punar āpata | [VSM, 3 696118_2]
vasnā iva vikrīṇāvahai iṣam ūrjam śatakrato | [VSM, 3 696119_1]
dehi me | [VSM, 3 696120_1]
dadāmi te | [VSM, 3 696120_2]
ni me dhehi | [VSM, 3 696120_3]
ni te dadhe | [VSM, 3 696120_4]
nihāram ca harāsi me | [VSM, 3 696121_1]
nihāram niharāṇi te svāhā | [VSM, 3 696121_2]
akṣann amīmadanta hy ava priyā adhūṣata | [VSM, 3 51.1]
astoṣata svabhānavo viprā naviṣṭhayā matī yojā nvindra te harī | [VSM, 3 51.2]
susaṃdṛśaṃ tvā vayaṃ maghavan vandiṣīmahi | [VSM, 3 52.1]
pra nūnaṃ pūrṇabandhura stuto yāsi vaśāṁ anu yojā nvindra te harī | [VSM, 3 52.2]
mano nv āhvāmahe nārāśaṃsena stomena | [VSM, 3 53.1]
pitṝṇāṃ ca manmabhiḥ | [VSM, 3 53.2]
ā na etu manaḥ punaḥ kratve dakṣāya jīvase | [VSM, 3 54.1]
jyok ca sūryaṃ dṛśe | [VSM, 3 54.2]
punar naḥ pitaro mano dadātu daivyo janaḥ | [VSM, 3 55.1]
jīvaṃ vrātaṃ sacemahi | [VSM, 3 55.2]
vayaṃ soma vrate tava manastanūṣu bibhrataḥ | [VSM, 3 56.1]
prajāvantaḥ sacemahi | [VSM, 3 56.2]
eṣa te rudra bhāgaḥ | [VSM, 3 696134_1]
saha svasrā ambikayā tam juṣasva svāhā | [VSM, 3 696134_2]
eṣa te rudra bhāgaḥ | [VSM, 3 696135_1]
ākhuḥ te paśuḥ | [VSM, 3 696135_2]
ava rudram adīmahi ava devam tryambakam yathā naḥ vasyasaḥ karat yat yathā naḥ śreyasaḥ karat yat yathā naḥ vyavasāyayāt | [VSM, 3 696136_1]
bheṣajam asi bheṣajam gave aśvāya puruṣāya bheṣajam sukham meṣāya meṣyai | [VSM, 3 696138_1]
tryambakam yajāmahe sugandhim puṣṭi vardhanam | [VSM, 3 696140_1]
urvārukam iva bandhanāt mṛtyoḥ mukṣīya mā amṛtāt | [VSM, 3 696141_1]
tryambakam yajāmahe sugandhim pati vedanam | [VSM, 3 696142_1]
urvārukam iva bandhanāt itas mukṣīya mā amutas | [VSM, 3 696143_1]
etat te rudra avasam | [VSM, 3 696144_1]
tena paras mūjavataḥ atīhi | [VSM, 3 696144_2]
avatata dhanvā pinākāvasaḥ kṛttivāsāḥ a hiṃsan naḥ śivaḥ atīhi | [VSM, 3 696145_1]
tri āyuṣam jamadagneḥ kaśyapasya tri āyuṣam yat deveṣu tri āyuṣam tat naḥ astu tri āyuṣam | [VSM, 3 696147_1]
śivaḥ nāma asi | [VSM, 3 696148_1]
svadhitiḥ te pitā | [VSM, 3 696148_2]
namaḥ te astu | [VSM, 3 696148_3]
mā mā hiṃsīḥ | [VSM, 3 696148_4]
nivartayāmi āyuṣe annādyāya prajananāya rāyaspoṣāya suprajāstvāya su vīryāya | [VSM, 3 696149_1]
{VSM, 4}
ā idam aganma devayajanam pṛthivyāḥ yatra devāsaḥ ajuṣanta viśve | [VSM, 4 696150_1]
ṛc sāmābhyām saṃtarantaḥ yajurbhiḥ rāyaspoṣeṇa sam iṣā madema | [VSM, 4 696151_1]
imāḥ āpaḥ śam u me santu devīḥ | [VSM, 4 696152_1]
oṣadhe trāyasva | [VSM, 4 696153_1]
svadhite mā enam hiṃsīḥ | [VSM, 4 696154_1]
āpaḥ asmān mātaraḥ śundhayantu | [VSM, 4 696155_1]
ghṛtena naḥ ghṛta pvaḥ punantu | [VSM, 4 696155_2]
viśvam hi ripram pravahanti devīḥ | [VSM, 4 696156_1]
ud idābhyaḥ śucir āpūta emi | [VSM, 4 2.3]
dīkṣā tapasoḥ tanūḥ asi | [VSM, 4 696158_1]
asi | [VSM, 4 696158_2]
tām tvā śivām śagmām paridadhe bhadram varṇam puṣyan | [VSM, 4 696158_3]
mahīnām payaḥ asi | [VSM, 4 696159_1]
varcaḥ dāḥ asi | [VSM, 4 696159_2]
varcaḥ me dehi | [VSM, 4 696159_3]
asi | [VSM, 4 696160_1]
vṛtrasya asi kanīnakaḥ | [VSM, 4 696160_2]
cakṣuḥ dāḥ asi | [VSM, 4 696160_3]
cakṣuḥ me dehi | [VSM, 4 696160_4]
citpatiḥ mā punātu | [VSM, 4 696161_1]
vākpatiḥ mā punātu | [VSM, 4 696162_1]
devaḥ mā savitā punātu acchidreṇa pavitreṇa sūryasya raśmibhiḥ | [VSM, 4 696163_1]
tasya te pavitra pate pavitra pūtasya yad kāmaḥ pune tat śakeyam | [VSM, 4 696164_1]
ā vaḥ devāsaḥ īmahe vāmam prayati adhvare | [VSM, 4 696165_1]
ā vaḥ devāsaḥ āśiṣaḥ yajñiyāsaḥ havāmahe | [VSM, 4 696166_1]
svāhā yajñam manasaḥ | [VSM, 4 696167_1]
svāhā uroḥ antarikṣāt | [VSM, 4 696168_1]
svāhā dyāvāpṛthivībhyām | [VSM, 4 696169_1]
svāhā vātāt ārabhe svāhā | [VSM, 4 696170_1]
ākūtyai prayuje agnaye svāhā | [VSM, 4 696171_1]
medhāyai manase agnaye svāhā | [VSM, 4 696172_1]
dīkṣāyai tapase agnaye svāhā | [VSM, 4 696173_1]
sarasvatyai pūṣṇe agnaye svāhā | [VSM, 4 696174_1]
āpaḥ devīḥ bṛhatīḥ viśva śambhuvaḥ dyāvāpṛthivī uro antarikṣa bṛhaspataye haviṣā vidhema svāhā | [VSM, 4 696176_1]
viśvo devasya netur marto vurīta sakhyam | [VSM, 4 8.1]
viśvo rāya iṣudhyati dyumnaṃ vṛṇīta puṣyase svāhā | [VSM, 4 8.2]
ṛk sāmayoḥ śilpe sthaḥ | [VSM, 4 696179_1]
te vām ārabhe | [VSM, 4 696179_2]
te mā pātam ā asya yajñasya udṛcaḥ | [VSM, 4 696179_3]
śarma asi | [VSM, 4 696180_1]
śarma me yaccha | [VSM, 4 696180_2]
namaḥ te astu | [VSM, 4 696180_3]
mā mā hiṃsīḥ | [VSM, 4 696180_4]
ūrj asi āṅgirasī | [VSM, 4 696181_1]
ūrṇamradā ūrjam mayi dhehi | [VSM, 4 696181_2]
somasya nīviḥ asi | [VSM, 4 696182_1]
viṣṇoḥ śarma asi śarma yajamānasya | [VSM, 4 696183_1]
indrasya yoniḥ asi | [VSM, 4 696184_1]
su sasyāḥ kṛṣīḥ kṛdhi | [VSM, 4 696185_1]
ucchrayasva vanaspate ūrdhvaḥ | [VSM, 4 696186_1]
mā pāhi aṃhasaḥ ā asya yajñasya udṛcaḥ | [VSM, 4 696186_2]
vratam kṛṇuta | [VSM, 4 696187_1]
agniḥ brahma | [VSM, 4 696187_2]
agniḥ yajñaḥ | [VSM, 4 696187_3]
vanaspatiḥ yajñiyaḥ | [VSM, 4 696187_4]
daivīm dhiyam manāmahe su mṛḍīkām abhiṣṭaye varcaḥ dhām yajña vāhasam | [VSM, 4 696188_1]
su tīrthā naḥ asat vaśe | [VSM, 4 696188_2]
ye devāḥ manaḥ jātāḥ manaḥ yujaḥ dakṣa kratavaḥ te naḥ avantu te naḥ pāntu | [VSM, 4 696189_1]
tebhyaḥ svāhā | [VSM, 4 696189_2]
śvātrāḥ pītāḥ bhavata yūyam āpaḥ asmākam antar udare su śevāḥ | [VSM, 4 696190_1]
tāḥ asmabhyam ayakṣmāḥ anamīvāḥ anāgasaḥ svadantu devīḥ amṛtāḥ ṛtāvṛdhaḥ | [VSM, 4 696191_1]
iyam te yajñiyā tanūḥ | [VSM, 4 696192_1]
apaḥ muñcāmi na prajām | [VSM, 4 696193_1]
aṃhaḥ mucaḥ svāhākṛtāḥ pṛthivīm āviśata | [VSM, 4 696194_1]
pṛthivyā saṃbhava | [VSM, 4 696195_1]
agne tvam su jāgṛhi | [VSM, 4 696196_1]
vayam su mandiṣīmahi | [VSM, 4 696196_2]
rakṣa naḥ aprayucchan | [VSM, 4 696197_1]
prabudhe naḥ punar kṛdhi | [VSM, 4 696197_2]
punar manaḥ punar āyuḥ me āgan | [VSM, 4 696198_1]
punar prāṇaḥ punar ātmā me āgan | [VSM, 4 696198_2]
punar cakṣuḥ punar śrotram me āgan | [VSM, 4 696198_3]
vaiśvānaraḥ adabdhaḥ tanū pāḥ agniḥ naḥ pātu duritāt avadyāt | [VSM, 4 696199_1]
tvam agne vratapā asi deva ā martyeṣv ā tvaṃ yajñeṣv īḍyaḥ | [VSM, 4 16.1]
rāsva iyat soma | [VSM, 4 696201_1]
ā bhūyaḥ bhara | [VSM, 4 696201_2]
devaḥ naḥ savitā vasoḥ dātā vasu adāt | [VSM, 4 696201_3]
eṣā te śukra tanūḥ etat varcaḥ | [VSM, 4 696202_1]
tayā saṃbhava | [VSM, 4 696202_2]
bhrājam gaccha | [VSM, 4 696202_3]
jūḥ asi dhṛtā manasā juṣṭā viṣṇave | [VSM, 4 696203_1]
tasyāḥ te satya savasaḥ prasave tanvaḥ yantram aśīya svāhā | [VSM, 4 696204_1]
śukram asi | [VSM, 4 696205_1]
candram asi | [VSM, 4 696205_2]
amṛtam asi | [VSM, 4 696205_3]
vaiśvadevam asi | [VSM, 4 696205_4]
cit asi | [VSM, 4 696206_1]
manā asi | [VSM, 4 696206_2]
dhīḥ asi | [VSM, 4 696206_3]
dakṣiṇā asi | [VSM, 4 696206_4]
kṣatriyā asi | [VSM, 4 696206_5]
yajñiyā asi | [VSM, 4 696206_6]
aditiḥ asi ubhayatas śīrṣṇī | [VSM, 4 696206_7]
sā naḥ su prācī su pratīcī edhi | [VSM, 4 696207_1]
mitraḥ tvā padi badhnītām | [VSM, 4 696207_2]
pūṣā adhvanaḥ pātu indrāya adhyakṣāya | [VSM, 4 696207_3]
anu tvā mātā manyatām anu pitā anu bhrātā sagarbhyaḥ anu sakhā sa yūthyaḥ | [VSM, 4 696208_1]
sā devi devam ihi indrāya somam | [VSM, 4 696209_1]
rudraḥ tvā vartayatu | [VSM, 4 696209_2]
svasti soma sakhā punar ehi | [VSM, 4 696209_3]
vasvī asi | [VSM, 4 696210_1]
aditiḥ asi | [VSM, 4 696210_2]
ādityā asi | [VSM, 4 696210_3]
rudrā asi | [VSM, 4 696210_4]
candrā asi | [VSM, 4 696210_5]
bṛhaspatiḥ tvā sumne ramṇātu | [VSM, 4 696211_1]
rudraḥ vasubhiḥ ācake | [VSM, 4 696211_2]
adityāḥ tvā mūrdhan ājigharmi devayajane pṛthivyāḥ | [VSM, 4 696212_1]
iḍāyāḥ padam asi ghṛtavat svāhā | [VSM, 4 696212_2]
asme ramasva | [VSM, 4 696213_1]
asme te bandhuḥ | [VSM, 4 696214_1]
tve rāyaḥ | [VSM, 4 696215_1]
me rāyaḥ | [VSM, 4 696216_1]
mā vayam rāyaspoṣeṇa viyauṣma | [VSM, 4 696217_1]
rāyaḥ | [VSM, 4 696218_1]
samakhye devyā dhiyā sam dakṣiṇayā uru cakṣasā | [VSM, 4 696219_1]
mā me āyuḥ pramoṣīḥ mā u aham tava | [VSM, 4 696220_1]
vīram videya tava devi saṃdṛśi | [VSM, 4 696221_1]
eṣa te gāyatraḥ bhāgaḥ iti me somāya brūtāt | [VSM, 4 696222_1]
eṣa te traiṣṭubhaḥ bhāgaḥ iti me somāya brūtāt | [VSM, 4 696222_2]
eṣa te jāgataḥ bhāgaḥ iti me somāya brūtāt | [VSM, 4 696222_3]
chandonāmānām sāmrājyam gaccha iti me somāya brūtāt | [VSM, 4 696222_4]
āsmākaḥ asi | [VSM, 4 696223_1]
śukraḥ te grahyaḥ | [VSM, 4 696223_2]
vicitaḥ tvā vicinvantu | [VSM, 4 696223_3]
tyam devam savitāram oṇyoḥ kavi kratum arcāmi satya savam ratna dhām abhi priyam matim kavim | [VSM, 4 696224_1]
hiraṇya pāṇiḥ amimīta sukratuḥ kṛpā svar | [VSM, 4 696225_1]
prajābhyaḥ tvā | [VSM, 4 696226_1]
prajāḥ tvā anuprāṇantu | [VSM, 4 696227_1]
prajāḥ tvam anuprāṇihi | [VSM, 4 696227_2]
śukram tvā śukreṇa krīṇāmi candram candreṇa amṛtam amṛtena | [VSM, 4 696228_1]
sagme te goḥ | [VSM, 4 26.2]
asme te candrāṇi | [VSM, 4 696230_1]
tapasaḥ tanūḥ asi prajāpateḥ varṇaḥ | [VSM, 4 696231_1]
parameṇa paśunā krīyase | [VSM, 4 696231_2]
sahasra poṣam puṣeyam | [VSM, 4 696231_3]
mitraḥ naḥ ehi su mitra dhaḥ | [VSM, 4 696232_1]
indrasya ūrum āviśa dakṣiṇam uśan uśantam syonaḥ syonam | [VSM, 4 696233_1]
svāna bhrāja aṅghāre bambhāre hasta suhasta kṛśāno ete vaḥ soma krayaṇāḥ | [VSM, 4 696235_1]
tān rakṣadhvam | [VSM, 4 696235_2]
mā vaḥ dabhan | [VSM, 4 696235_3]
pari mā agne duścaritāt bādhasva | [VSM, 4 696236_1]
ā mā su carite bhaja | [VSM, 4 696236_2]
ud āyuṣā su āyuṣā udasthām amṛtāṁ anu | [VSM, 4 696237_1]
prati panthām apadmahi svasti gām anehasam yena viśvāḥ pari dviṣaḥ vṛṇakti vindate vasu | [VSM, 4 696238_1]
adityāḥ tvac asi | [VSM, 4 696240_1]
adityai sadaḥ āsīda | [VSM, 4 696241_1]
astabhnād dyāṃ vṛṣabho antarikṣam amimīta varimāṇaṃ pṛthivyāḥ | [VSM, 4 30.3]
āsīdad viśvā bhuvanāni samrāḍ viśvet tāni varuṇasya vratāni | [VSM, 4 30.4]
vaneṣu vi antarikṣam tatāna vājam arvatsu payaḥ usriyāsu | [VSM, 4 696244_1]
hṛtsu kratuṃ varuṇo vikṣv agniṃ divi sūryam adadhāt somam adrau | [VSM, 4 31.2]
sūryasya cakṣuḥ āroha agneḥ akṣṇaḥ kanīnakam yatra etaśebhiḥ īyase bhrājamānaḥ vipaścitā | [VSM, 4 696246_1]
usrau etam dhūrṣāhau | [VSM, 4 696248_1]
yujyethām anaśrū a vīra hanau brahma codanau | [VSM, 4 696248_2]
svasti yajamānasya gṛhān gacchatam | [VSM, 4 696249_1]
bhadraḥ me asi | [VSM, 4 696250_1]
pracyavasva bhuvaḥ pate viśvāni abhi dhāmāni | [VSM, 4 696250_2]
mā tvā paripariṇaḥ vidan | [VSM, 4 696251_1]
mā tvā paripanthinaḥ vidan | [VSM, 4 696251_2]
mā vṛkāḥ aghāyavaḥ vidan | [VSM, 4 696251_3]
śyenaḥ bhūtvā parāpata | [VSM, 4 696252_1]
yajamānasya gṛhān gaccha | [VSM, 4 696252_2]
tat nau saṃskṛtam | [VSM, 4 696252_3]
namo mitrasya varuṇasya cakṣase maho devāya tad ṛtaṃ saparyata | [VSM, 4 35.1]
dūredṛśe deva jātāya ketave divaḥ putrāya sūryāya śaṃsata | [VSM, 4 696254_1]
varuṇasya uttambhanam asi | [VSM, 4 696255_1]
varuṇasya skambhasarjanī sthaḥ | [VSM, 4 696256_1]
varuṇasya ṛta sadanī asi | [VSM, 4 696257_1]
varuṇasya ṛta sadanam asi | [VSM, 4 696258_1]
varuṇasya ṛta sadanam āsīda | [VSM, 4 696259_1]
yā te dhāmāni haviṣā yajanti tā te viśvā paribhūḥ astu yajñam | [VSM, 4 696260_1]
gayasphānaḥ prataraṇaḥ suvīro 'vīrahā pracarā soma duryān | [VSM, 4 37.2]
{VSM, 5}
agnes tanūr asi viṣṇave tvā somasya tanūr asi viṣṇave tvātither ātithyam asi viṣṇave śyenāya tvā somabhṛte viṣṇave tvāgnaye tvā rāyaspoṣade viṣṇave tvā | [VSM, 5 1.1]
agner janitram asi | [VSM, 5 2.1]
vṛṣaṇau sthaḥ | [VSM, 5 2.2]
urvaśy asi | [VSM, 5 2.3]
āyur asi | [VSM, 5 2.4]
purūravā asi | [VSM, 5 2.5]
gāyatreṇa tvā chandasā manthāmi | [VSM, 5 2.6]
traiṣṭubhena tvā chandasā manthāmi | [VSM, 5 2.7]
jāgatena tvā chandasā manthāmi | [VSM, 5 2.8]
bhavataṃ naḥ samanasau sacetasāv arepasau | [VSM, 5 3.1]
mā yajñaṃ hiṃsiṣṭaṃ mā yajñapatiṃ jātavedasau śivau bhavatam adya naḥ | [VSM, 5 3.2]
agnāv agniś carati praviṣṭa ṛṣīṇāṃ putro abhiśastipāvā | [VSM, 5 4.1]
sa naḥ syonaḥ suyajā yajeha devebhyo havyaṃ sadam aprayucchant svāhā | [VSM, 5 4.2]
āpataye tvā paripataye gṛhṇāmi tanūnaptrye śākvarāya śakvana ojiṣṭhāya | [VSM, 5 5.1]
anādhṛṣṭam asy anādhṛṣyaṃ devānām ojo 'nabhiśasty abhiśastipā anabhiśastenyam añjasā satyam upageṣaṃ svite mā dhāḥ | [VSM, 5 5.2]
agne vratapās tve vratapā yā tava tanūr iyaṃ sā mayi yo mama tanūr eṣā sā tvayi | [VSM, 5 6.1]
saha nau vratapate vratāny anu me dīkṣāṃ dīkṣāpatir manyatām anu tapas tapaspatiḥ | [VSM, 5 6.2]
aṃśur aṃśuṣ ṭe deva somāpyāyatām indrāyaikadhanavide | [VSM, 5 7.1]
ā tubhyam indraḥ pyāyatām ā tvam indrāya pyāyasva | [VSM, 5 7.2]
ā pyāyayāsmānt sakhīnt sanyā medhayā svasti te deva soma sutyām aśīya | [VSM, 5 7.3]
eṣṭā rāyaḥ preṣe bhagāya ṛtam ṛtavādibhyo namo dyāvāpṛthivībhyām | [VSM, 5 7.4]
yā te agne 'yaḥśayā tanūr varṣiṣṭhā gahvareṣṭhā | [VSM, 5 8.1]
ugraṃ vaco apāvadhīt tveṣaṃ vaco apāvadhīt svāhā | [VSM, 5 8.2]
yā te agne rajaḥśayā tanūr varṣiṣṭhā gahvareṣṭhā | [VSM, 5 8.3]
ugraṃ vaco apāvadhīt tveṣaṃ vaco apāvadhīt svāhā | [VSM, 5 8.4]
yā te agne hariśayā tanūr varṣiṣṭhā gahvareṣṭhā | [VSM, 5 8.5]
ugraṃ vaco apāvadhīt tveṣaṃ vaco apāvadhīt svāhā | [VSM, 5 8.6]
taptāyanī me 'si | [VSM, 5 9.1]
vittāyanī me 'si | [VSM, 5 9.2]
avatān mā nāthitāt | [VSM, 5 9.3]
avatān mā vyathitāt | [VSM, 5 9.4]
vided agnir nabho nāma | [VSM, 5 9.5]
agne aṅgira āyunā nāmnehi | [VSM, 5 9.6]
yo 'syāṃ pṛthivyām asi yat te 'nādhṛṣṭaṃ nāma yajñiyaṃ tena tvādadhe | [VSM, 5 9.7]
vided agnir nabho nāma | [VSM, 5 9.8]
agne aṅgira āyunā nāmnehi | [VSM, 5 9.9]
yo dvitīyasyāṃ pṛthivyām asi yat te 'nādhṛṣṭaṃ nāma yajñiyaṃ tena tvādadhe | [VSM, 5 9.10]
vided agnir nabho nāma | [VSM, 5 9.11]
agne aṅgira āyunā nāmnehi | [VSM, 5 9.12]
yas tṛtīyasyāṃ pṛthivyām asi yat te 'nādhṛṣṭaṃ nāma yajñiyaṃ tena tvādadhe | [VSM, 5 9.13]
anu tvā devavītaye | [VSM, 5 9.14]
siṃhy asi sapatnasāhī devebhyaḥ kalpasva | [VSM, 5 10.1]
siṃhy asi sapatnasāhī devebhyaḥ śundhasva | [VSM, 5 10.2]
siṃhy asi sapatnasāhī devebhyaḥ śumbhasva | [VSM, 5 10.3]
indraghoṣas tvā vasubhiḥ purastāt pātu | [VSM, 5 11.1]
pracetās tvā rudraiḥ paścāt pātu | [VSM, 5 11.2]
manojavās tvā pitṛbhir dakṣiṇataḥ pātu | [VSM, 5 11.3]
viśvakarmā tvādityair uttarataḥ pātu | [VSM, 5 11.4]
idam ahaṃ taptaṃ vār bahirdhā yajñān niḥsṛjāmi | [VSM, 5 11.5]
siṃhy asi svāhā | [VSM, 5 12.1]
siṃhy asy ādityavaniḥ svāhā | [VSM, 5 12.2]
siṃhy asi brahmavaniḥ kṣatravaniḥ svāhā | [VSM, 5 12.3]
siṃhy asi suprajāvanī rāyaspoṣavaniḥ svāhā | [VSM, 5 12.4]
siṃhy asy āvaha devān yajamānāya svāhā | [VSM, 5 12.5]
bhūtebhyas tvā | [VSM, 5 12.6]
dhruvo 'si pṛthivīṃ dṛṃha | [VSM, 5 13.1]
dhruvakṣid asy antarikṣaṃ dṛṃha | [VSM, 5 13.2]
acyutakṣid asi divaṃ dṛṃha | [VSM, 5 13.3]
agneḥ purīṣam asi | [VSM, 5 13.4]
yuñjate mana uta yuñjate dhiyo viprā viprasya bṛhato vipaścitaḥ | [VSM, 5 14.1]
vi hotrā dadhe vayunāvid eka in mahī devasya savituḥ pariṣṭutiḥ svāhā | [VSM, 5 14.2]
idaṃ viṣṇur vicakrame tredhā ni dadhe padam | [VSM, 5 15.1]
samūḍham asya pāṃsure svāhā | [VSM, 5 15.2]
irāvatī dhenumatī hi bhūtaṃ sūyavasinī manave daśasyā | [VSM, 5 16.1]
vyaskabhnā rodasī viṣṇav ete dādhartha pṛthivīm abhito mayūkhaiḥ svāhā | [VSM, 5 16.2]
devaśrutau deveṣv āghoṣatam | [VSM, 5 17.1]
prācī pretam adhvaraṃ kalpayantī ūrdhvaṃ yajñaṃ nayataṃ mā jihvaratam | [VSM, 5 17.2]
svaṃ goṣṭham āvadataṃ devī durye āyur mā nirvādiṣṭaṃ prajāṃ mā nirvādiṣṭam | [VSM, 5 17.3]
atra ramethāṃ varṣman pṛthivyāḥ | [VSM, 5 17.4]
viṣṇor nu kaṃ vīryāṇi pravocaṃ yaḥ pārthivāni vimame rajāṃsi | [VSM, 5 18.1]
yo askabhāyad uttaraṃ sadhasthaṃ vicakramāṇas tredhorugāyaḥ | [VSM, 5 18.2]
viṣṇave tvā | [VSM, 5 19.1]
divo vā viṣṇa uta vā pṛthivyā maho vā viṣṇa uror antarikṣāt | [VSM, 5 19.2]
ubhā hi hastā vasunā pṛṇasvā prayaccha dakṣiṇād ota savyāt | [VSM, 5 19.3]
viṣṇave tvā | [VSM, 5 19.4]
pra tad viṣṇu stavate vīryeṇa mṛgo na bhīmaḥ kucaro giriṣṭhāḥ | [VSM, 5 20.1]
yasyoruṣu triṣu vikramaṇeṣv adhikṣiyanti bhuvanāni viśvā | [VSM, 5 20.2]
viṣṇo rarāṭam asi | [VSM, 5 21.1]
viṣṇoḥ śnaptre sthaḥ | [VSM, 5 21.2]
viṣṇoḥ syūr asi | [VSM, 5 21.3]
viṣṇor dhruvo 'si | [VSM, 5 21.4]
vaiṣṇavam asi viṣṇave tvā | [VSM, 5 21.5]
devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām | [VSM, 5 22.1]
ādade nāry asi | [VSM, 5 22.2]
idam ahaṃ rakṣasāṃ grīvā apikṛntāmi | [VSM, 5 22.3]
bṛhann asi bṛhadravā bṛhatīm indrāya vācaṃ vada | [VSM, 5 22.4]
rakṣohaṇaṃ valagahanaṃ vaiṣṇavīm | [VSM, 5 23.1]
idam ahaṃ taṃ valagam utkirāmi yaṃ me niṣṭyo yam amātyo nicakhāna | [VSM, 5 23.2]
idam ahaṃ taṃ valagam utkirāmi yaṃ me samāno yam asamāno nicakhāna | [VSM, 5 23.3]
